,Baths,Beds,Garages,Lot_SqFt,Price,Square_Feet,Year_Built,Date_Sold,Days_On_Market
0,3.0,4,3,7518,800000,2350,1999,08/28/2023,47
1,3.0,4,3,8695,840000,2319,1996,08/28/2023,26
2,2.0,4,3,7932,685000,2002,1989,08/28/2023,25
3,2.0,3,2,5144,575000,1198,1993,08/28/2023,25
4,3.0,3,3,14651,840000,2306,1989,08/28/2023,33
5,3.0,5,3,7083,880000,3396,1999,08/28/2023,89
6,2.1,4,2,2849,635000,1856,2012,08/25/2023,82
7,2.0,3,1,0,422500,1265,2007,08/25/2023,49
8,2.0,4,0,7022,840000,1766,1890,08/25/2023,39
9,2.0,3,2,6821,587500,1272,1990,08/24/2023,33
10,3.0,4,2,5250,750000,2335,2019,08/23/2023,75
11,3.1,4,4,14152,1345000,3930,2007,08/23/2023,105
12,3.0,4,3,6826,790000,2129,1997,08/22/2023,39
13,2.1,4,3,16601,930000,2748,1991,08/22/2023,53
14,2.1,2,2,1501,500000,1501,2007,08/22/2023,54
15,2.0,3,2,6268,686000,1670,2004,08/21/2023,33
16,2.1,2,2,1111,410000,1019,1990,08/21/2023,173
17,2.1,4,3,8516,775000,2190,1998,08/21/2023,35
18,3.0,4,2,4700,695368,2278,2023,08/18/2023,136
19,2.0,4,3,6778,785000,2024,2006,08/18/2023,50
20,3.0,4,3,32432,1500000,4130,1991,08/18/2023,75
21,2.1,3,2,1567,465000,1267,2006,08/18/2023,81
22,1.0,1,1,0,212400,804,2007,08/17/2023,63
23,1.0,2,0,0,61000,600,1970,08/17/2023,48
24,3.0,5,3,15195,900000,2918,1989,08/17/2023,48
25,3.0,4,2,5837,760000,1992,1997,08/17/2023,39
26,3.0,4,3,29846,1355000,3261,1990,08/16/2023,47
27,3.0,4,3,15921,1280000,3139,2007,08/16/2023,74
28,3.1,4,3,15875,1500000,3576,2006,08/16/2023,137
29,2.0,3,2,3489,670000,2147,1983,08/14/2023,61
30,2.0,2,1,0,413000,1157,2007,08/11/2023,46
31,2.0,3,3,8281,835000,1687,2005,08/11/2023,40
32,2.0,2,1,0,439000,1340,2007,08/11/2023,62
33,3.0,4,2,4160,670000,2203,2013,08/11/2023,117
34,2.1,3,2,0,525000,1746,2007,08/10/2023,40
35,3.1,5,3,7009,1008000,3467,2020,08/10/2023,75
36,2.0,2,0,0,225000,1440,1979,08/10/2023,91
37,1.1,2,0,0,89900,680,1966,08/10/2023,61
38,2.0,2,2,4718,501000,1012,1998,08/09/2023,39
39,3.1,4,2,11838,960000,3177,2003,08/09/2023,82
40,3.0,5,3,7396,785000,3115,1998,08/09/2023,88
41,2.0,3,2,7536,450000,1145,1976,08/09/2023,31
42,2.0,2,1,0,425500,1340,2007,08/08/2023,53
43,1.1,3,1,7209,528500,1433,1950,08/08/2023,101
44,2.0,2,0,0,159000,888,2004,08/08/2023,137
45,2.1,4,2,11385,814950,2518,2023,08/08/2023,105
46,2.1,4,2,4883,775000,2588,2001,08/08/2023,110
47,2.0,2,1,44,409940,1031,2007,08/08/2023,88
48,2.1,3,3,11340,926000,2538,2002,08/07/2023,53
49,2.0,3,2,9043,616000,1194,1975,08/07/2023,48
50,3.0,4,2,3999,679000,2454,1990,08/07/2023,75
51,3.1,5,3,6826,1150000,3467,2021,08/07/2023,75
52,2.0,4,3,8899,700000,1939,1990,08/07/2023,62
53,2.0,2,2,4953,628495,1542,2023,08/06/2023,168
54,2.0,2,2,3616,547995,1420,2023,08/06/2023,343
55,2.0,3,3,8494,665000,1827,1993,08/04/2023,62
56,3.0,4,3,10123,960000,3367,1990,08/04/2023,103
57,2.0,3,2,4321,650000,1975,1987,08/04/2023,138
58,2.0,3,0,0,190000,1440,1977,08/03/2023,333
59,3.0,4,3,12474,1215000,3994,1990,08/03/2023,167
60,2.0,2,0,0,310000,1536,1978,08/03/2023,46
61,2.0,2,0,0,250000,1536,1973,08/03/2023,54
62,4.0,5,3,7948,1325000,3680,2022,08/02/2023,111
63,2.0,2,0,0,162500,1440,1973,08/02/2023,56
64,3.1,4,3,15377,1549000,4646,2006,08/02/2023,125
65,2.0,3,2,5053,556500,1300,1973,08/01/2023,53
66,3.0,4,2,9980,681000,1874,1970,08/01/2023,53
67,2.0,2,0,0,175000,1296,1977,08/01/2023,146
68,1.1,2,1,7457,520000,1430,1977,08/01/2023,72
69,3.0,5,3,11975,1350000,3183,1989,08/01/2023,45
70,2.1,3,2,2243,575000,1794,2020,08/01/2023,96
71,3.0,4,3,13199,950000,3189,1986,07/31/2023,74
72,2.0,3,3,13154,712000,1757,1990,07/31/2023,74
73,2.1,4,2,6845,804950,2518,2023,07/28/2023,138
74,3.0,4,3,7688,792000,2039,2000,07/28/2023,62
75,3.0,3,2,3999,621250,2113,1990,07/28/2023,98
76,2.1,4,3,7405,775000,2206,1993,07/26/2023,54
77,2.1,2,2,5615,640000,1673,1999,07/26/2023,67
78,3.0,5,2,4455,710000,2689,2023,07/25/2023,189
79,2.0,3,2,14515,625000,1155,1959,07/25/2023,89
80,2.1,3,2,6386,725000,2180,1998,07/25/2023,89
81,3.0,5,3,17508,965000,3360,2001,07/24/2023,69
82,2.0,3,3,12791,750000,1661,1996,07/24/2023,75
83,3.1,4,2,4635,713000,2190,2015,07/24/2023,60
84,2.1,3,2,3533,640000,1573,2004,07/21/2023,76
85,4.0,5,5,10598,1090000,3230,2005,07/21/2023,84
86,3.0,4,2,8642,808500,2249,2001,07/21/2023,60
87,3.0,4,3,9771,925000,2794,1989,07/21/2023,76
88,3.0,4,3,14923,850000,2426,1989,07/21/2023,70
89,2.0,2,1,0,405000,1029,2006,07/20/2023,60
90,2.0,3,2,8250,560000,1470,1959,07/19/2023,75
91,2.0,3,0,14560,625000,1053,1900,07/19/2023,78
92,3.0,4,3,4887,870000,2407,2021,07/19/2023,88
93,2.1,3,2,40325,925000,2159,1981,07/18/2023,62
94,2.0,3,2,6098,665000,1434,1999,07/18/2023,81
95,2.1,2,2,1111,425000,1019,1990,07/18/2023,84
96,2.1,3,2,3707,670000,1888,2013,07/17/2023,67
97,2.0,4,2,6033,718000,1899,1997,07/14/2023,74
98,1.0,2,1,6290,510000,981,1950,07/14/2023,138
99,3.0,4,3,8786,1000000,2889,2003,07/14/2023,83
100,2.1,2,2,4792,640000,1867,1990,07/14/2023,74
101,2.1,2,2,1111,465000,1019,1990,07/13/2023,109
102,2.0,2,2,0,495000,1728,2006,07/12/2023,125
103,3.0,4,3,7339,995000,3103,2018,07/11/2023,130
104,2.1,4,3,8133,862000,2680,1999,07/11/2023,88
105,2.1,3,2,4147,630000,1888,2014,07/11/2023,117
106,2.0,2,2,0,475000,1227,2007,07/11/2023,81
107,2.0,2,2,4740,512000,1398,2023,07/11/2023,180
108,2.0,4,2,7902,809000,1939,1990,07/11/2023,82
109,3.0,5,3,10565,1125000,3740,2001,07/10/2023,90
110,3.1,4,3,11838,970000,2478,1996,07/10/2023,76
111,1.0,1,0,0,348000,750,2007,07/10/2023,94
112,2.0,2,0,0,175000,1440,1977,07/10/2023,84
113,4.0,6,4,11385,1210000,4227,2001,07/10/2023,73
114,3.1,5,3,12972,1475000,3555,2002,07/10/2023,61
115,2.0,2,2,4946,668995,1596,2023,07/08/2023,180
116,2.1,2,2,7734,676495,1542,2022,07/08/2023,343
117,3.1,4,2,8268,1445000,3053,2023,07/07/2023,85
118,3.0,3,2,3598,618000,1822,1993,07/07/2023,332
119,2.1,4,2,16647,930000,2745,1979,07/07/2023,75
120,2.0,4,2,9209,755000,1878,2002,07/06/2023,75
121,3.0,4,3,7405,715000,1755,1993,07/05/2023,110
122,2.0,3,3,8925,734000,1876,1999,07/05/2023,83
123,2.0,3,3,6730,778888,1974,1999,07/05/2023,82
