,index,Price,Baths,Beds,Square_Feet,Year_Built,Garages,Lot_SqFt,Date_Sold,Days_On_Market
0,0,800000,3.0,4,2350,1999,3,7518,08/28/2023,47
1,1,840000,3.0,4,2319,1996,3,8695,08/28/2023,26
2,2,685000,2.0,4,2002,1989,3,7932,08/28/2023,25
3,3,575000,2.0,3,1198,1993,2,5144,08/28/2023,25
4,4,840000,3.0,3,2306,1989,3,14651,08/28/2023,33
5,5,880000,3.0,5,3396,1999,3,7083,08/28/2023,89
6,6,635000,2.1,4,1856,2012,2,2849,08/25/2023,82
7,7,422500,2.0,3,1265,2007,1,0,08/25/2023,49
8,8,840000,2.0,4,1766,1890,0,7022,08/25/2023,39
9,9,587500,2.0,3,1272,1990,2,6821,08/24/2023,33
10,10,750000,3.0,4,2335,2019,2,5250,08/23/2023,75
11,11,1345000,3.1,4,3930,2007,4,14152,08/23/2023,105
12,12,790000,3.0,4,2129,1997,3,6826,08/22/2023,39
13,13,930000,2.1,4,2748,1991,3,16601,08/22/2023,53
14,14,500000,2.1,2,1501,2007,2,1501,08/22/2023,54
15,15,686000,2.0,3,1670,2004,2,6268,08/21/2023,33
16,16,410000,2.1,2,1019,1990,2,1111,08/21/2023,173
17,17,775000,2.1,4,2190,1998,3,8516,08/21/2023,35
18,18,695368,3.0,4,2278,2023,2,4700,08/18/2023,136
19,19,785000,2.0,4,2024,2006,3,6778,08/18/2023,50
20,20,1500000,3.0,4,4130,1991,3,32432,08/18/2023,75
21,21,465000,2.1,3,1267,2006,2,1567,08/18/2023,81
22,22,212400,1.0,1,804,2007,1,0,08/17/2023,63
23,23,61000,1.0,2,600,1970,0,0,08/17/2023,48
24,24,900000,3.0,5,2918,1989,3,15195,08/17/2023,48
25,25,760000,3.0,4,1992,1997,2,5837,08/17/2023,39
26,26,1355000,3.0,4,3261,1990,3,29846,08/16/2023,47
27,27,1280000,3.0,4,3139,2007,3,15921,08/16/2023,74
28,28,1500000,3.1,4,3576,2006,3,15875,08/16/2023,137
29,29,670000,2.0,3,2147,1983,2,3489,08/14/2023,61
30,30,413000,2.0,2,1157,2007,1,0,08/11/2023,46
31,0,835000,2.0,3,1687,2005,3,8281,08/11/2023,40
32,1,439000,2.0,2,1340,2007,1,0,08/11/2023,62
33,2,670000,3.0,4,2203,2013,2,4160,08/11/2023,117
34,3,525000,2.1,3,1746,2007,2,0,08/10/2023,40
35,4,1008000,3.1,5,3467,2020,3,7009,08/10/2023,75
36,5,225000,2.0,2,1440,1979,0,0,08/10/2023,91
37,6,89900,1.1,2,680,1966,0,0,08/10/2023,61
38,7,501000,2.0,2,1012,1998,2,4718,08/09/2023,39
39,8,960000,3.1,4,3177,2003,2,11838,08/09/2023,82
40,9,785000,3.0,5,3115,1998,3,7396,08/09/2023,88
41,10,450000,2.0,3,1145,1976,2,7536,08/09/2023,31
42,11,425500,2.0,2,1340,2007,1,0,08/08/2023,53
43,12,528500,1.1,3,1433,1950,1,7209,08/08/2023,101
44,13,159000,2.0,2,888,2004,0,0,08/08/2023,137
45,14,814950,2.1,4,2518,2023,2,11385,08/08/2023,105
46,15,775000,2.1,4,2588,2001,2,4883,08/08/2023,110
47,16,409940,2.0,2,1031,2007,1,44,08/08/2023,88
48,17,926000,2.1,3,2538,2002,3,11340,08/07/2023,53
49,18,616000,2.0,3,1194,1975,2,9043,08/07/2023,48
50,19,679000,3.0,4,2454,1990,2,3999,08/07/2023,75
51,20,1150000,3.1,5,3467,2021,3,6826,08/07/2023,75
52,21,700000,2.0,4,1939,1990,3,8899,08/07/2023,62
53,22,628495,2.0,2,1542,2023,2,4953,08/06/2023,168
54,23,547995,2.0,2,1420,2023,2,3616,08/06/2023,343
55,24,665000,2.0,3,1827,1993,3,8494,08/04/2023,62
56,25,960000,3.0,4,3367,1990,3,10123,08/04/2023,103
57,26,650000,2.0,3,1975,1987,2,4321,08/04/2023,138
58,27,190000,2.0,3,1440,1977,0,0,08/03/2023,333
59,28,1215000,3.0,4,3994,1990,3,12474,08/03/2023,167
60,29,310000,2.0,2,1536,1978,0,0,08/03/2023,46
61,30,250000,2.0,2,1536,1973,0,0,08/03/2023,54
62,0,1325000,4.0,5,3680,2022,3,7948,08/02/2023,111
63,1,162500,2.0,2,1440,1973,0,0,08/02/2023,56
64,2,1549000,3.1,4,4646,2006,3,15377,08/02/2023,125
65,3,556500,2.0,3,1300,1973,2,5053,08/01/2023,53
66,4,681000,3.0,4,1874,1970,2,9980,08/01/2023,53
67,5,175000,2.0,2,1296,1977,0,0,08/01/2023,146
68,6,520000,1.1,2,1430,1977,1,7457,08/01/2023,72
69,7,1350000,3.0,5,3183,1989,3,11975,08/01/2023,45
70,8,575000,2.1,3,1794,2020,2,2243,08/01/2023,96
71,9,950000,3.0,4,3189,1986,3,13199,07/31/2023,74
72,10,712000,2.0,3,1757,1990,3,13154,07/31/2023,74
73,11,804950,2.1,4,2518,2023,2,6845,07/28/2023,138
74,12,792000,3.0,4,2039,2000,3,7688,07/28/2023,62
75,13,621250,3.0,3,2113,1990,2,3999,07/28/2023,98
76,14,775000,2.1,4,2206,1993,3,7405,07/26/2023,54
77,15,640000,2.1,2,1673,1999,2,5615,07/26/2023,67
78,16,710000,3.0,5,2689,2023,2,4455,07/25/2023,189
79,17,625000,2.0,3,1155,1959,2,14515,07/25/2023,89
80,18,725000,2.1,3,2180,1998,2,6386,07/25/2023,89
